ID;Status;Nome; valor ;Descricao;Categorias
1;true;Brigadeiro;R$ 5,00;trufa caseira de brigadeiro, feita com chocolate 50% cacau para um sabor equilibrado entre doce e intenso. Perfeita para quem aprecia um docinho gourmet sem complicação!;classicos
2;true;Ninho;R$ 5,00;Trufa irresistível com mousse de Ninho e chocolate ao leite, cremosa e derrete na boca. A cobertura de leite em pó garante um toque doce e aveludado. Um clássico que conquista paladares!;classicos
3;true;Dois Amores;R$ 5,00;A fusão perfeita de dois clássicos irresistíveis! Trufa com camada dupla: núcleo cremoso de brigadeiro tradicional (chocolate + leite condensado) e envolto por uma mousse suave de Ninho.;classicos
4;true;Prestigio;R$ 5,00;Trufa artesanal com mousse de coco 100% natural, cremosa e intensamente aromática. Elaborada sem chocolate branco, destacando o sabor fresco e tropical do coco. Finalizada com coco ralado para crocância e apresentação rústica. Perfeita para quem busca sabores autênticos!;classicos
5;true;Sensação;R$ 5,00;O clássico que lembra infância! Textura macia e sabor irresistível de chocolate maltado,Simples, viciante e cheia de nostalgia!;classicos
6;true;Ouro Branco;R$ 6,00;Indulgência suprema! Trufa de chocolate branco cremoso com núcleo de brigadeiro de leite condensado, envolta em uma fina casca crocante de chocolate branco. Texturas que derretem e crispam, num contraste de luxo.;brancos
7;true;Confete;R$ 6,00;Diversão em cada mordida! Trufa de chocolate branco cremoso com recheio de brigadeiro de leite condensado recheado com M&M's coloridos, que derretem e surpreendem no paladar. Finalizada com mais confetes de chocolate por fora para um visual festivo. Ideal para quem ama texturas crocantes e sabores lúdicos!;brancos
8;true;Maracujá;R$ 6,00;Delicada trufa de mousse de maracujá natural com sementes crocantes, envolta em uma camada fina de chocolate ao leite cremoso. O contraste entre a acidez vibrante da fruta e a doçura suave do chocolate cria um equilíbrio perfeito.;frutas
9;true;Limão;R$ 6,00;Delicada trufa de mousse de limão siciliano fresca e vibrante, com raspas da casca para intensificar o aroma cítrico. Envolta em uma fina camada de chocolate ao leite para equilibrar a acidez, finalizada com raspas de limão.;frutas
10;true;Oreo;R$ 8,00;Indulgência cremosa e crocante! Trufa feita com mousse de Oreo triturado, envolvida em uma camada de chocolate ao leite para equilibrar a doçura. Finalizada com pedaços de biscoito Oreo por fora para um toque crunchy e visual irresistível.;especiais
11;true;Napolitano;R$ 8,00;A tríade perfeita em uma trufa! Camadas distintas de brigadeiro cremoso, mousse de Ninho e recheio de Sensação, harmonizadas em um único bite.;especiais
12;true;Café;R$ 8,00;Para os amantes de um sabor intenso e sofisticado! Trufa com brigadeiro cremoso de café, envolvida em uma camada de chocolate ao leite.;especiais
13;true;Menta;R$ 8,00;Refrescante e irresistível! Trufa de mousse de menta suave e aromática, envolta em uma camada de chocolate meio amargo para equilibrar o frescor.;especiais
14;true;Paçoca;R$ 8,00;A explosão de amendoim que todo mundo ama! Trufa com recheio de paçoca derretida em leite condensado.;especiais
